dynamic,static,index2 to dynamic
initial_f = 378,,initial_f = 378
initial_f = 388,,initial_f = 388
initial_f = 401,,initial_f = 401
initial_f = 404,,initial_f = 404
initial_f = 368,,initial_f = 368
initial_f = 386,,initial_f = 386
initial_f = 379,,initial_f = 379
initial_f = 349,,initial_f = 349
initial_f = 385,,initial_f = 385
initial_f = 64,,initial_f = 356
,,initial_f = 351
,,initial_f = 366
,,initial_f = 368
,,initial_f = 418
,,initial_f = 382
,,initial_f = 390
,,initial_f = 380
,,initial_f = 368
,,initial_f = 395
,,initial_f = 349
